k,kernel,valid_loss
1719,biweight,98357.01555724918
1934,biweight,99168.82821594425
2149,biweight,99934.74068494691
2364,biweight,100684.26508715862
2578,biweight,101408.71638976267
2793,biweight,102130.62876104243
3008,biweight,102830.91115034508
3223,biweight,103520.86765350719
3438,biweight,104201.06050104718
3653,biweight,104870.5690383936
3867,biweight,105527.58113707729
4082,biweight,106181.49137784302
1,triweight,151179.2870901569
215,triweight,89532.5597403827
430,triweight,90711.61411644335
645,triweight,91756.66325835549
860,triweight,92608.79229937666
1075,triweight,93335.38460482065
1289,triweight,93988.27435225468
1504,triweight,94598.23947113573
1719,triweight,95203.65019704343
1934,triweight,95787.00847789785
2149,triweight,96339.62126409642
2364,triweight,96875.93097521136
2578,triweight,97394.47296980173
2793,triweight,97914.40805048113
3008,triweight,98424.22822088146
3223,triweight,98930.48683350827
3438,triweight,99431.1164382702
3653,triweight,99930.61384977511
3867,triweight,100428.2968510824
4082,triweight,100929.41655452823
1,cos,143941.26720746545
215,cos,92435.42569492973
430,cos,94682.86127094386
645,cos,96462.61368914142
860,cos,98028.36050512837
1075,cos,99439.45950310412
1289,cos,100842.12999896597
1504,cos,102169.44174358192
1719,cos,103445.10822172379
1934,cos,104640.37212682162
2149,cos,105733.48365143406
2364,cos,106791.52112390721
2578,cos,107807.2640086129
2793,cos,108786.0973134222
3008,cos,109709.11953004476
3223,cos,110593.5901318932
3438,cos,111450.3922616156
3653,cos,112282.22841727817
3867,cos,113092.75199329566
4082,cos,113893.25632784521
1,inv,143941.26720746545
215,inv,93727.62397535013
430,inv,96985.27700893972
645,inv,100070.59151690049
860,inv,102816.94758427505
1075,inv,105401.4196845186
1289,inv,107633.89908132107
1504,inv,109495.76028350287
1719,inv,111312.15598860102
1934,inv,112775.88806420789
2149,inv,114135.48172188102
2364,inv,115504.4883015489
2578,inv,116715.5200212224
2793,inv,117794.32643491332
3008,inv,118791.63957990933
3223,inv,119709.35577315475
3438,inv,120610.48257395405
3653,inv,121528.0844959254
3867,inv,122436.69657340927
4082,inv,123303.41036255288
1,gaussian,143941.26720746545
215,gaussian,92294.63504723237
430,gaussian,93940.25465909977
645,gaussian,95149.59729809854
860,gaussian,96149.61086639129
1075,gaussian,97051.47940469651
1289,gaussian,97813.07594594857
1504,gaussian,98507.79676655232
1719,gaussian,99177.56468647544
1934,gaussian,99749.5201888296
2149,gaussian,100275.02320284848
2364,gaussian,100797.57447850586
2578,gaussian,101283.34419865196
2793,gaussian,101740.61149927546
3008,gaussian,102167.81341727288
3223,gaussian,102580.30773121727
3438,gaussian,102976.22126474517
3653,gaussian,103369.46927738747
3867,gaussian,103758.10135511616
4082,gaussian,104138.54852427877
1,rank,143941.26720746545
215,rank,93402.64650762724
430,rank,96153.43975193979
645,rank,98514.59763193227
860,rank,100728.64233876413
1075,rank,102748.23064295374
1289,rank,104645.44792579224
1504,rank,106376.26346228013
1719,rank,107947.48505006624
1934,rank,109398.45883983494
2149,rank,110722.42539664119
2364,rank,111960.33305859842
2578,rank,113122.11003848062
2793,rank,114217.68842491158
3008,rank,115242.18681413567
