gamma,C,epsilon,train_loss,valid_loss
0.1,10,0.1,12281.290618845873,95716.13079543364
0.2,10,0.1,8863.557944907876,107674.39565983196
0.5,10,0.1,6289.461626628539,120336.11240614088
1,10,0.1,5087.051751254517,125462.74208069946
0.01,100,0.1,29820.84403016826,88717.87611352582
0.1,100,0.1,6940.309439942125,115512.32475578433
0.2,100,0.1,5299.047073969506,121255.91104832597
0.5,100,0.1,4190.634526462889,128836.90469613553
1,100,0.1,3591.405678475769,133737.29471005453
0.01,0.01,0.5,89407.24469773944,90512.45860950074
0.1,0.01,0.5,118032.675437983,118902.53177869922
0.2,0.01,0.5,137775.35148800447,137567.83210510574
0.5,0.01,0.5,150706.49148935758,150111.31017860497
1,0.01,0.5,153891.57493008312,153187.69235551596
0.01,0.1,0.5,74839.59080663668,76721.5488623841
0.1,0.1,0.5,87541.3849426694,99548.04931415032
0.2,0.1,0.5,100134.19533384088,115657.10788055405
0.5,0.1,0.5,113270.65826419799,131080.05785726785
1,0.1,0.5,117958.5284001869,136594.91919475017
0.01,1,0.5,61278.238414334744,71605.8975089831
0.1,1,0.5,44847.29369232373,92229.07280683637
0.2,1,0.5,42498.58120640886,107635.20406934104
0.5,1,0.5,40784.45218010891,123188.71676251505
1,1,0.5,39679.226179898185,129578.45284098334
0.01,10,0.5,50081.12905887331,73873.44405183602
0.1,10,0.5,35785.91894394237,95628.54798530003
0.2,10,0.5,36171.4440619073,109052.00903790441
0.5,10,0.5,36202.0021603521,123501.34288200599
1,10,0.5,35969.17539455394,129510.70176429025
0.01,100,0.5,41433.97521454321,85133.49037801975
0.1,100,0.5,32964.30430090492,103525.6159378738
0.2,100,0.5,34256.556695997526,114399.98932228149
0.5,100,0.5,35119.32293110259,127706.9543391575
1,100,0.5,34924.52149615826,136031.81823467024
0.01,0.01,0.15,88654.73928010442,89974.67015769171
0.1,0.01,0.15,120127.72710595356,120699.41691184948
0.2,0.01,0.15,144325.89330854296,143531.47929085785
0.5,0.01,0.15,158593.4184978984,156982.31217679073
1,0.01,0.15,162276.10303001717,160422.1152263314
0.01,0.1,0.15,75718.6770774242,79968.5576405487
0.1,0.1,0.15,86707.34801604063,102149.44693139529
0.2,0.1,0.15,100366.83601527807,118352.34126868412
0.5,0.1,0.15,115731.29077620502,134823.80990498618
1,0.1,0.15,120788.69432392377,140697.84402223432
0.01,1,0.15,58970.86777252995,71311.22244881594
0.1,1,0.15,32989.254392937364,89176.52848544606
0.2,1,0.15,27108.61060525581,103129.43877807324
0.5,1,0.15,21629.42463426119,117399.49535007558
1,1,0.15,18351.949111736045,123533.7000082594
0.01,10,0.15,43378.34721689677,72882.41955915502
0.1,10,0.15,13258.166849736434,95232.3559653463
0.2,10,0.15,10139.756514632905,107179.99542551374
0.5,10,0.15,7775.486787639013,119999.2374121009
1,10,0.15,6684.39731501676,125310.61384258993
0.01,100,0.15,30025.314343839887,87861.52460804574
