fold,train_loss,valid_loss
1,14736.674474523526,56788.511318044926
2,14733.013245523842,54546.5925348043
3,14829.969709077615,54758.84740037624
4,14528.125929981192,62849.28863576091
5,14481.016762678755,62216.26187093541
6,14623.306464719575,59109.96913810996
7,14558.79523491929,61285.805338926846
8,14592.187794139309,58234.26743596984
9,14669.185958303897,57199.98115562607
10,14579.479302149419,62452.79044173537
