ncomp,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
1,5954.908363596826,0.12036123052552662,2076.362992470849,441.2960731482999,0.018553141701416385,76.11814561852918
2,5172.481568559311,0.33801364036671283,1678.2145542259038,415.5753698389017,0.05201408923810446,62.935799771686945
3,5162.090355884544,0.34150540869945356,1697.6835393025265,404.62966565107894,0.05058794999331351,65.77677406699758
4,4878.030453643216,0.4120356948302508,1636.0449299182633,499.04307644170524,0.0673517701953271,70.73956952088419
5,4884.353611541235,0.4107023060870804,1641.9351903391218,496.3917181954322,0.06702181514219867,68.64569211111635
6,4861.1772574056,0.41566320087432856,1612.2231955523723,495.3511762441777,0.06632251290968741,68.03964917360679
7,4681.429370011289,0.45846702623129787,1472.391983971449,504.8604316855146,0.07092780450625936,74.69546852720647
8,4677.409358839079,0.4594331471830131,1508.880643149167,506.7781171521918,0.07146744337999934,71.3918251907758
9,4604.169496058533,0.477035142011986,1487.163699574093,481.28162905232153,0.07365181152378278,71.8892524508648
10,4579.233535960435,0.4827736358136595,1539.0333660090844,484.7453673999277,0.07346110763209818,73.51853036946454
11,4503.620033882267,0.5001164121963393,1453.7690212186676,475.1819060570407,0.07414046338607928,77.7925106433445
12,4491.934634065808,0.5026321854166621,1432.6484744280042,469.0959553926582,0.07435746821178102,72.013411028888
13,4487.270134928766,0.503592435301224,1454.9031745007774,466.61619874709885,0.07367853438729241,73.53739773524049
14,4487.659979183398,0.5035211972787021,1459.597802854897,467.1308975917726,0.07363799657366446,74.0573757958999
15,4487.68418537742,0.5034546100615387,1459.3772287499692,464.48950257689705,0.0732881990192672,78.63204197869564
16,4487.372177762251,0.5035325579075481,1471.188349638587,464.69024443334985,0.07341378546968023,72.36038737673745
17,4478.019366010848,0.5055654608664195,1474.9463014472346,463.4415555721492,0.07197076880354022,75.05036322534875
18,4474.870663631527,0.5065033339225786,1510.7193733847166,454.1005508987039,0.0703850656214226,72.32869045990392
19,4461.92837456123,0.5094839591412608,1504.1117907084395,450.8729251867343,0.06695782147936745,70.91662981816643
20,4441.2355820253615,0.5138771740632037,1487.6383381130831,455.75810303409605,0.06937645389075266,65.98180313595542
21,4438.682760540994,0.5144191396014938,1481.9713698455528,455.44234164863434,0.06947617658991127,64.81731552771511
22,4437.105698480974,0.5145997595535127,1478.4867212385443,457.0325486882558,0.07024581552476201,67.71028383559836
23,4417.286310101766,0.5191186252659997,1470.5718023179725,451.7539710961288,0.06992307706487369,65.61441821204461
24,4419.006680812145,0.5191753935081664,1472.387779535983,450.32873717376134,0.06923378895057493,68.18216740351527
25,4410.4079323856,0.5213360818995653,1468.4706722136484,451.6727526375886,0.07083626611020188,66.283127871457
26,4402.952164347459,0.5228953770229189,1486.7928445850987,448.870417347931,0.06905599369510657,62.685450233927504
27,4317.737048375648,0.5416044726819765,1463.044411021396,457.0356449597105,0.0742573446452168,62.46540492598274
28,4263.118959126975,0.5537005920104574,1416.150174768941,440.8221126661513,0.06916750926807529,55.3917150736043
