num.trees,mtry,min.node.size,sample.fraction,replace,train_loss,valid_loss
500,3,1,0.5,FALSE,23005.2197257055,63100.14510985661
100,10,1,0.5,FALSE,17099.697414629194,59956.42142451685
670,10,1,0.5,FALSE,16711.663039053215,59720.5909053917
500,10,1,0.5,FALSE,16661.46017921687,59556.27126477721
100,16,1,0.5,FALSE,16203.20254543913,59411.72795610022
670,16,1,0.5,FALSE,15761.494964789335,59092.47388774884
500,16,1,0.5,FALSE,15786.062687618405,59194.82011994213
100,22,1,0.5,FALSE,15755.319582829838,59508.92514686886
670,22,1,0.5,FALSE,15422.324236591423,59002.51576053033
500,22,1,0.5,FALSE,15392.020723133219,59245.22986615506
100,26,1,0.5,FALSE,15787.214488255642,59800.056905919875
670,26,1,0.5,FALSE,15225.98952472166,59285.35957400875
500,26,1,0.5,FALSE,15306.124706341605,59335.43972189003
100,3,3,0.5,FALSE,26322.30855630534,63524.86437200771
670,3,3,0.5,FALSE,25925.53795795443,62919.808374101696
500,3,3,0.5,FALSE,26043.644634073957,63085.18829391907
100,10,3,0.5,FALSE,19487.12412654088,59943.2209093107
670,10,3,0.5,FALSE,19061.52451435057,59645.02790546327
500,10,3,0.5,FALSE,19048.659304923876,59373.69655347414
100,16,3,0.5,FALSE,18331.108702267782,59995.85849178489
670,16,3,0.5,FALSE,17943.25524534014,59142.1441336447
500,16,3,0.5,FALSE,18029.141712545585,59275.84278687448
100,22,3,0.5,FALSE,17886.52596288707,59707.36601091987
670,22,3,0.5,FALSE,17460.93068403465,59153.380170476375
500,22,3,0.5,FALSE,17468.26284862977,59145.79899000414
100,26,3,0.5,FALSE,17704.082497339474,60006.475438098976
670,26,3,0.5,FALSE,17241.8615179221,59246.33010442124
500,26,3,0.5,FALSE,17303.847032803147,59163.49410823663
100,3,5,0.5,FALSE,29135.8126578178,63497.32367812525
670,3,5,0.5,FALSE,29064.498214015264,63133.69476618756
500,3,5,0.5,FALSE,29127.468408978915,63145.17476484646
100,10,5,0.5,FALSE,22116.1985052667,60395.255205734145
670,10,5,0.5,FALSE,21836.696429314525,59526.66913724719
500,10,5,0.5,FALSE,21864.746731391897,59750.27493837933
100,16,5,0.5,FALSE,20830.237775485475,59883.22266251223
670,16,5,0.5,FALSE,20540.89601938034,59114.27147773771
500,16,5,0.5,FALSE,20528.07988764116,59348.26316045469
100,22,5,0.5,FALSE,20453.49487605027,59439.336105838665
670,22,5,0.5,FALSE,19989.595371394076,59118.56987702011
500,22,5,0.5,FALSE,19946.75962556222,59309.761653992
100,26,5,0.5,FALSE,20027.392135963557,59391.73270530597
670,26,5,0.5,FALSE,19674.178684286395,59073.91310760708
500,26,5,0.5,FALSE,19711.626582615176,59147.6425237886
100,3,10,0.5,FALSE,35072.02038450574,63516.9166133533
670,3,10,0.5,FALSE,34758.987107991125,63254.185725837335
500,3,10,0.5,FALSE,34781.25083138575,63652.32935505889
100,10,10,0.5,FALSE,27913.669439541933,59773.545657278126
670,10,10,0.5,FALSE,27569.80629265814,59850.84170224704
500,10,10,0.5,FALSE,27607.037396250184,59849.21352118581
100,16,10,0.5,FALSE,26567.029502891135,59266.06178974824
670,16,10,0.5,FALSE,26095.821603319193,59241.240086588215
500,16,10,0.5,FALSE,26167.35542928826,59325.415224947545
100,22,10,0.5,FALSE,25695.115605221843,60011.76199800751
670,22,10,0.5,FALSE,25327.415522114854,59112.94332303562
500,22,10,0.5,FALSE,25331.935524221015,59072.53233407822
100,26,10,0.5,FALSE,25277.771145829007,59522.60343836169
670,26,10,0.5,FALSE,25067.12361703298,59267.40881681439
500,26,10,0.5,FALSE,25045.378684198226,59254.792817890186
100,3,1,0.6,FALSE,18630.794016914,63371.32147648182
670,3,1,0.6,FALSE,18235.44370197439,62902.079616129005
500,3,1,0.6,FALSE,18247.476967193656,62684.58479174312
100,10,1,0.6,FALSE,11877.443800501303,59657.78236765265
670,10,1,0.6,FALSE,11476.38219287079,59436.00611469552
500,10,1,0.6,FALSE,11503.26251021769,59388.61233216413
100,16,1,0.6,FALSE,10899.855518627503,59778.258366092196
670,16,1,0.6,FALSE,10546.109392444003,58921.36595211596
500,16,1,0.6,FALSE,10550.35286856273,58810.88652941661
100,22,1,0.6,FALSE,10464.697224650234,59533.88762767959
670,22,1,0.6,FALSE,10077.894744765694,58993.07625143758
500,22,1,0.6,FALSE,10112.173918532051,59441.94000002131
100,26,1,0.6,FALSE,10274.395590687216,60120.56827369783
670,26,1,0.6,FALSE,9951.129984015526,59106.1612453486
500,26,1,0.6,FALSE,9988.610817448944,59222.535443480825
100,3,3,0.6,FALSE,21551.61419128564,64055.626242623875
670,3,3,0.6,FALSE,21118.08118656236,62820.9472190956
500,3,3,0.6,FALSE,21241.17807363604,62729.90676019773
100,10,3,0.6,FALSE,14202.325235496763,60036.45967222613
670,10,3,0.6,FALSE,13855.654572158637,59384.573373818996
500,10,3,0.6,FALSE,13920.70337378747,59490.666901510354
100,16,3,0.6,FALSE,12987.841213261307,60066.16514833207
670,16,3,0.6,FALSE,12678.928313321758,58957.16854221494
500,16,3,0.6,FALSE,12717.093311320767,58963.53945110656
100,22,3,0.6,FALSE,12436.941706970272,59791.89790193973
670,22,3,0.6,FALSE,12124.422946486971,58905.456853815274
500,22,3,0.6,FALSE,12211.676180057377,59085.438962004366
100,26,3,0.6,FALSE,12357.920352672303,60082.208732892104
670,26,3,0.6,FALSE,11988.787087879213,59189.10520734216
500,26,3,0.6,FALSE,11945.246296046833,58998.63248427722
100,3,5,0.6,FALSE,24649.781015455832,63416.82077807996
670,3,5,0.6,FALSE,24348.485909027786,62950.24997573856
500,3,5,0.6,FALSE,24435.47257249009,63141.244772649945
100,10,5,0.6,FALSE,17091.81671614904,60178.0182348565
670,10,5,0.6,FALSE,16658.939387643575,59456.642162711076
500,10,5,0.6,FALSE,16674.883136968343,59407.08959875678
100,16,5,0.6,FALSE,15568.606220497893,59332.55010009365
670,16,5,0.6,FALSE,15249.3582982776,59074.74398408268
500,16,5,0.6,FALSE,15316.572943433755,59183.845579048546
100,22,5,0.6,FALSE,14972.950396358836,59576.76994735044
670,22,5,0.6,FALSE,14672.75415708313,58789.36503724384
500,22,5,0.6,FALSE,14703.558644946315,59092.983021866836
100,26,5,0.6,FALSE,14708.399408186406,59607.78096511079
670,26,5,0.6,FALSE,14418.991424288364,58914.86806000737
500,26,5,0.6,FALSE,14422.459121338088,59101.65533141106
100,3,10,0.6,FALSE,30903.498029009676,63415.34350249399
670,3,10,0.6,FALSE,30506.92183089839,63205.56094230854
500,3,10,0.6,FALSE,30499.961957890366,63052.77159100956
100,10,10,0.6,FALSE,22928.2118201881,59960.662356232606
670,10,10,0.6,FALSE,22696.641332074403,59607.97765383416
500,10,10,0.6,FALSE,22717.099034570783,59626.8705523758
100,16,10,0.6,FALSE,21474.936579208035,59954.355220729936
670,16,10,0.6,FALSE,21166.479779100577,59101.79446883603
500,16,10,0.6,FALSE,21184.713308775466,59136.105151941236
100,22,10,0.6,FALSE,20590.83505524083,59288.69515892076
670,22,10,0.6,FALSE,20431.47111889623,58849.681485778696
500,22,10,0.6,FALSE,20390.33914116816,58818.8485633049
100,26,10,0.6,FALSE,20320.222487827556,59076.95068380752
670,26,10,0.6,FALSE,19994.20394454425,59129.51843902802
500,26,10,0.6,FALSE,19997.855776043307,58814.49832018058
100,3,1,0.8,FALSE,11636.973999325526,62624.44882951683
670,3,1,0.8,FALSE,11451.450484992878,62267.76401781491
500,3,1,0.8,FALSE,11439.333252197612,62585.94337445313
100,10,1,0.8,FALSE,4719.489403478242,59595.457124793895
670,10,1,0.8,FALSE,4561.834163531249,59099.680443880236
500,10,1,0.8,FALSE,4521.540279775189,59048.25321227213
100,16,1,0.8,FALSE,3667.7860268329327,59215.23134432903
670,16,1,0.8,FALSE,3499.5231657197523,58973.76558041455
500,16,1,0.8,FALSE,3505.0888603675367,59024.200604746875
100,22,1,0.8,FALSE,3232.8855330214074,60046.34140004383
670,22,1,0.8,FALSE,3044.975505844786,59213.75923826254
500,22,1,0.8,FALSE,3081.8109459072202,59366.13770823988
100,26,1,0.8,FALSE,3073.189520531687,60975.337902507556
670,26,1,0.8,FALSE,2888.5157157629196,59486.59926788797
500,26,1,0.8,FALSE,2912.431004564255,59570.10115844528
100,3,3,0.8,FALSE,14088.828352011635,62308.21078051836
670,3,3,0.8,FALSE,13921.077796501742,62410.16452019253
500,3,3,0.8,FALSE,13971.201563946443,62273.023587041964
100,10,3,0.8,FALSE,6453.547976350463,59482.460080938625
670,10,3,0.8,FALSE,6305.706852151556,59137.93998703726
500,10,3,0.8,FALSE,6338.84502945386,59208.18028337944
100,16,3,0.8,FALSE,5264.513373292471,59156.76211777126
670,16,3,0.8,FALSE,5158.82629215063,59044.70846030922
500,16,3,0.8,FALSE,5163.020579651143,59250.57880600341
100,22,3,0.8,FALSE,4805.085367857195,59310.14870734226
670,22,3,0.8,FALSE,4638.2190608543215,59085.99492682643
500,22,3,0.8,FALSE,4647.066177890093,59348.55182908431
100,26,3,0.8,FALSE,4621.521119078309,59843.59661239462
670,26,3,0.8,FALSE,4413.4833568771,59408.13162132519
500,26,3,0.8,FALSE,4415.906256327607,59498.475221145556
100,3,5,0.8,FALSE,17008.730433767938,62707.20617360698
670,3,5,0.8,FALSE,16791.007577633114,62459.77106708406
500,3,5,0.8,FALSE,16832.347143271312,62553.229352038834
100,10,5,0.8,FALSE,9036.76911811795,59767.88153636891
