ncomp,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD,p
1,5973.85218134935,0.1171619206517234,2169.4861963699614,445.6514695884274,0.018551683903321146,92.18440581596006,0.21000000000000002
2,5191.570888385882,0.33658159160494244,1740.0524096537517,436.8652396691318,0.05228522700511136,80.15517557077497,0.21000000000000002
3,5181.732668530396,0.3394979535096303,1765.7488109585026,417.0398089688118,0.052585894520900685,85.06210559578885,0.21000000000000002
4,4948.6039770705875,0.3961896058242912,1693.0429190905097,493.52788719641694,0.0693422009849551,89.84280945013981,0.21000000000000002
5,4913.504629210742,0.4064693285422471,1680.537194497717,510.5949491251236,0.07060248091110946,109.1154693940589,0.21000000000000002
6,4870.517360806862,0.4158949935699586,1640.0200079758158,522.6854989362237,0.07404363753782642,103.13829550039881,0.21000000000000002
7,4694.728232303269,0.4565245996844597,1525.3887990343471,516.4168860376492,0.07288533014915458,81.88446916925582,0.21000000000000002
8,4694.110580404297,0.4566522486999089,1546.0788195196715,516.7269872804139,0.07292401409617699,79.08526982346557,0.21000000000000002
9,4650.122178146278,0.46748947098372107,1555.8973131066991,511.22865683333004,0.07579911966441728,77.3002166430882,0.21000000000000002
10,4616.766663363728,0.4752098534488898,1609.9499026822107,502.07476500353715,0.07532185134585856,98.72187173630601,0.21000000000000002
11,4565.433427863416,0.4867952966176202,1572.0629587329115,501.71794858014704,0.07602688503540168,85.79045802803005,0.21000000000000002
12,4529.548118898615,0.49496157427423765,1525.6976219367605,472.81146393773645,0.07348413866177989,85.02249701385247,0.21000000000000002
13,4488.555396363374,0.5035551916807398,1515.6095925957204,474.55984468992443,0.07638655975829083,87.61435436114022,0.21000000000000002
14,4480.198184965042,0.5054008149098026,1538.7761451670922,465.51685696212843,0.07435131558327827,96.74545106399316,0.21000000000000002
15,4477.165280688281,0.5064675010736742,1557.3410928702647,458.24606229119763,0.07186104804881209,119.25637100028725,0.21000000000000002
16,4472.968733633705,0.5075477287367542,1572.586317622875,451.37262648671714,0.06868488771240844,104.13170917218142,0.21000000000000002
17,4470.68153131886,0.5079716258170797,1585.4206373282568,457.13972399504337,0.06982663497369075,89.20313150586209,0.21000000000000002
18,4471.680040517588,0.508135922068361,1600.6132463613671,449.3293830769936,0.06910815229236877,73.45425173826433,0.21000000000000002
19,4458.465902025386,0.510626463642354,1589.0678324885803,456.39806631061555,0.07012629120238531,79.51142907412924,0.21000000000000002
20,4441.886832867517,0.5143794571392449,1586.3058346582898,443.83072253885683,0.06915569437693063,63.8182304380568,0.21000000000000002
21,4435.775106050519,0.5157752889104917,1576.3914563426267,443.1289280399509,0.0695938360443616,62.16655945927734,0.21000000000000002
22,4425.002913097747,0.518276666523715,1570.7395256112784,438.0998708515259,0.06988642382437435,60.40957386716813,0.21000000000000002
