p,ncomp,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.05,49,4157.988720419497,0.5778412085590516,1495.3409418741876,410.83117446232546,0.0652068623966038,52.361225233805094
0.060000000000000005,49,4160.040249228922,0.5773995395785018,1494.5844909624668,411.54055806003015,0.0654627300789488,52.876114749265774
0.07,49,4157.020880933338,0.5775596557892866,1492.4685990447142,412.13302484892176,0.06540528962451396,50.91089005554794
0.08,49,4153.115125469291,0.5780857819648505,1490.100409395181,414.22757643937706,0.0654235555971394,50.007530758381435
0.09,49,4153.299179275812,0.5782452760305715,1489.2264391991732,415.3661381723514,0.06566410303548112,49.394040499410224
0.1,49,4152.484713295182,0.5785890075859013,1485.949130327918,417.15521862933343,0.06615541407754312,47.776533590427
0.11,49,4153.452907237122,0.5783478283257877,1484.2211496636498,418.5934605520838,0.066641602080288,48.437631689976385
0.12000000000000001,49,4154.109163801213,0.5781332890324784,1481.8909433806705,418.6902133988259,0.06650318856223895,46.810391553104346
0.13,49,4153.997683650817,0.5780741986187028,1480.105718792676,419.58644827168166,0.06689424204139718,46.62928924107171
0.14,49,4148.563783937252,0.5789565732050015,1474.451823954479,422.1493063319738,0.06666683368013106,45.63723636296563
0.15000000000000002,46,4145.731099753208,0.5791316844765041,1476.7144149204819,429.90772280764116,0.06746466854234567,46.8550732262509
0.16,46,4147.647438591899,0.5788310206232784,1473.2472429271147,429.16711633337883,0.06722555137890154,50.14014263806581
0.16999999999999998,46,4146.178105055031,0.5788811630562145,1471.0107009887943,430.13341160158626,0.06715275744094161,49.457237033314115
0.18,46,4146.772722195611,0.5790923029266135,1467.4184782662983,428.24373295966444,0.06680061457538493,48.505484833497405
0.19,46,4147.164680426054,0.5788047599231673,1465.766693873223,428.57519246951966,0.06654553875748523,48.777476607111105
0.2,46,4145.685468679402,0.5786406477399623,1462.8814890376602,429.91363156373546,0.06661058839991042,49.191068428820024
0.21000000000000002,46,4143.357883008432,0.579123205775347,1460.1685731872099,428.2249995909818,0.06630656250154394,51.22931686808934
0.22000000000000003,46,4143.555108699138,0.5790580438695302,1458.876223794202,429.6585549060268,0.06644681749319209,53.034164727253234
0.22999999999999998,46,4147.587681233774,0.5785430134365996,1459.6701069141059,426.88881695307407,0.06607245079484912,55.990539965173674
0.24,42,4149.105734480598,0.5768199175497458,1456.6971219824175,447.4744646691868,0.06889037024937596,54.94300160869397
0.25,42,4148.596042724489,0.5768628175877241,1454.5252001038436,442.6133212203925,0.06789675161480718,55.61161806258493
0.26,42,4150.841596297322,0.5766112203863751,1449.2343431002448,445.08205806449024,0.06813436452557166,53.631646920380774
0.27,45,4150.14571632979,0.5778178489644568,1440.9110546044838,429.824050959644,0.0659828195806004,54.543041172647335
0.28,45,4148.936899725463,0.5783695043979775,1437.4668185177593,432.1998616251747,0.06673008328042457,54.56383379969632
0.29,42,4146.89977135805,0.5776137434867451,1435.740951541423,443.35352743731943,0.06878272534839072,50.77129323775915
0.3,42,4144.043129033998,0.578174502221553,1434.5440143643364,442.7794409968193,0.06887025485766625,51.73324441206556
