fold,train_loss,valid_loss,thresh,X_sub
1,0.9441475433709138,4.14113409514229,0.01,1
2,0.9620529350755782,3.6940143501645273,0.01,2
3,0.950669468148859,3.7677749403562353,0.01,3
4,0.9461252286809853,3.8994446211538523,0.01,4
5,0.9737679317786362,3.5968523143365854,0.01,5
6,0.953159317278808,4.0613226305956065,0.01,6
7,0.9405790146225828,4.370745267309356,0.01,7
8,0.9562042148558271,4.11721199312961,0.01,8
9,0.9608879696927163,3.9890734755656077,0.01,9
10,0.9599849181700142,3.7539393696135264,0.01,10
1,0.9363262638055628,4.118715699460611,0.02,11
2,0.9634701693328533,3.6679917195667455,0.02,12
3,0.9617846648742867,3.7840907934702996,0.02,13
4,0.9416563765421018,3.871330478193777,0.02,14
5,0.9643948738979401,3.5557633785190776,0.02,15
6,0.9463616642054831,4.04956885069448,0.02,16
7,0.9384012400913311,4.351585113921577,0.02,17
8,0.9491397683552236,4.101824609714518,0.02,18
9,0.9621829585529826,3.950523101647971,0.02,19
10,0.9489976701889395,3.7324506845086143,0.02,20
1,0.9294395262929395,4.124870380531482,0.03,21
2,0.9638791877285702,3.678250058994402,0.03,22
3,0.952584939416214,3.7718845408406656,0.03,23
4,0.9495802140692409,3.906994772975201,0.03,24
5,0.9701544607635528,3.5540665595086174,0.03,25
6,0.9305117557287721,4.068082651457629,0.03,26
7,0.9376488312423239,4.340716184432683,0.03,27
8,0.9477160653120964,4.119636831085616,0.03,28
9,0.956298370933443,3.972207713885442,0.03,29
10,0.9496776968561227,3.7458535306873015,0.03,30
1,0.9780362026100238,4.093591902836531,0.05,31
2,0.9977758994048257,3.704948121705845,0.05,32
3,1.0039747092909883,3.783601446801392,0.05,33
4,1.001343221036196,3.8801279988846096,0.05,34
5,1.0009123617387046,3.5435619250231896,0.05,35
6,0.9945348096756627,4.098039604978887,0.05,36
7,0.9817453385196381,4.347520907832168,0.05,37
8,0.9958239886578076,4.117421594485938,0.05,38
9,0.996448689338558,3.9241484427936713,0.05,39
10,0.9925373133367388,3.7221041419762924,0.05,40
1,0.9523758151352184,4.112137744820543,0.1,41
2,0.9755259419609302,3.6724384813158104,0.1,42
3,0.9515722280683119,3.7525923610008185,0.1,43
4,0.9609999861454008,3.8353192107441365,0.1,44
5,0.9730984818390576,3.4815568667852537,0.1,45
6,0.9600522105490452,4.1029330550967416,0.1,46
7,0.948661170840734,4.334413371172742,0.1,47
8,0.9445559102611075,4.103179513747863,0.1,48
9,0.9600225091658233,3.8945235970142957,0.1,49
10,0.9649063192587657,3.713699685976441,0.1,50
